################################################################################
# Data 1                          Data_0_00034.dat
# Data 2                          Data_0_00040.dat
# Transmission                    1.398564624794896
# Weight                          1.0
# Smart_subtraction               True
# EDF_DataBlockID                 0.Image.Psd
# EDF_BinarySize                  4366944
# EDF_HeaderSize                  3072
# ByteOrder                       LowByteFirst
# DataType                        FloatValue
# Dim_1                           1028
# Dim_2                           1062
# Image                           0
# HeaderID                        EH:000000:000000:000000
# Size                            4366944
# Center_1                        629.9744
# Center_2                        651.0223
# Comment                         C2 - ESAXS_600s_365_mins
# DDummy                          0.6
# Date                            2025-04-02T01:04:31
# Delta                           0
# Dummy                           -1.5
# ExposureTime                    600
# Force                           -0.009793
# Gamma                           0
# Intensity1                      5.94941e-11
# JawsDistance                    0.000239
# JawsVelocity                    0
# PSize_1                         7.5e-05
# PSize_2                         7.5e-05
# SampleDistance                  1.8
# SampleEnvKind                   gisaxs
# SampleEnvPN                     Liquid Well
# SampleEnvSN                     665
# Strain                          3.41833e-05
# Stress                          -0.0163212
# Thickness                       0
# WaveLength                      1.541889e-10
# Wavelength                      1.54189e-10
# anaB                            0.000116274
# anaB_dial                       0.0123639
# anaPark                         2.4575
# anaPark_dial                    -2.4575
# anaXi                           -5.60284e-09
# anaXi_dial                      0
# anaZ                            8.96045e-08
# anaZ_dial                       2.98331
# b2c                             0
# b2c_dial                        0
# bioZ                            -3.00038
# bioZ_dial                       -1.34441
# det0x                           0
# det0x_dial                      7.79661
# det0xvd                         0
# det0xvd_dial                    0
# det0y                           1800
# det0y_dial                      -863.827
# det0z                           0
# det0z_dial                      5.50516
# det0zvd                         0
# det0zvd_dial                    0
# distana                         93.4
# distana_dial                    93.4
# dual                            -8.24014e-06
# dual_dial                       198.086
# mono1B                          2.86102e-09
# mono1B_dial                     -0.222
# mono2B                          -1.81198e-08
# mono2B_dial                     -1.844
# mono2X                          0.079375
# mono2X_dial                     0.0909375
# mono2Xi                         -0.18
# mono2Xi_dial                    -0.18
# monoZ                           -11
# monoZ_dial                      -0.249943
# om                              0.18
# om_dial                         0.12
# phi                             0.0140624
# phi_dial                        -0.00200892
# pm5                             0
# pm5_dial                        0
# qana                            0
# qana_dial                       0
# ry                              0
# ry_dial                         0.00149858
# s1bot                           0.35
# s1bot_dial                      -0.305781
# s1hl                            0.75
# s1hl_dial                       0.26875
# s1hr                            -0.25
# s1hr_dial                       -0.376875
# s1top                           0.15
# s1top_dial                      1.05344
# s2bot                           0.125
# s2bot_dial                      0.809688
# s2hl                            0.325
# s2hl_dial                       0.0759375
# s2hr                            -0.075
# s2hr_dial                       0.078125
# s2top                           0.125
# s2top_dial                      0.569063
# ttdeg                           0
# ttdeg_dial                      0
# wind                            67.9917
# wind_dial                       67.9917
# x                               -40
# x_dial                          -21.2694
# z                               3.00007
# z_dial                          3.73936
# CountCutoff                     1530246
# DetectorModel                   Dectris EIGER2 Si 1M, S/N E-02-0291
# ThresholdSetting                4023.88989258
# FlatField                       Corrected
# BackgroundReductionExtra        0.031
# Detector                        0
# Monitor                         0
# Pil_Roi0                        0
# SumForIntensity1                3.56965e+07
# det                             0
# mon                             0
# pilai0                          3.56965e+07
# pilai1                          0
# pilct0                          3.56996e+07
# pilct1                          0
# pilroi0                         3.56996e+07
# pilroi1                         0
# sec                             0.099
# title                           Data_0_00034.edf
# usaxs0                          283.104
# Origin                          subtracted
# Thickness_correction            False
################################################################################
 q(A-1)                   I_subtracted(a.u.)         Sigma_I(a.u.)            
       0.032006               0.567077171               0.109084368           
       0.032175               0.764060217               0.114064098           
       0.032345               0.526994696              0.0917264492           
       0.032515               0.599893671               0.102722758           
       0.032685               0.602189573              0.0998379916           
       0.032855               0.535814136              0.0962100158           
       0.033024                0.42809167              0.0908419818           
       0.033194               0.705350532               0.107823768           
       0.033364               0.499767034              0.0940155503           
       0.033534               0.570625269              0.0950438647           
       0.033704                0.55095307               0.101857212           
       0.033873               0.500056959              0.0898396782           
       0.034043               0.348451981              0.0875337523           
       0.034213               0.497719878               0.090299349           
       0.034383               0.513732251              0.0949499113           
       0.034553                0.38832736              0.0891256639           
       0.034722               0.525107852              0.0977119231           
       0.034892               0.545433521              0.0989505967           
       0.035062               0.542348493              0.0909209312           
       0.035232               0.370167355              0.0820655292           
       0.035401               0.452186159               0.088646281           
       0.035571                0.71881843               0.103227624           
       0.035741               0.486037159              0.0835194505           
       0.035911               0.426034179              0.0893370587           
       0.036081               0.448554823              0.0905141358           
       0.036250               0.624355293              0.0968161592           
       0.036420               0.746131366               0.103187224           
       0.036590               0.689620043               0.095091159           
       0.036760               0.465428432              0.0852474311           
       0.036930               0.498666877              0.0843240097           
       0.037099               0.604317622              0.0967672225           
       0.037269               0.499438194              0.0909294921           
       0.037439               0.620747163              0.0964004646           
       0.037609               0.658368989              0.0939646878           
       0.037779               0.692074846               0.094637672           
       0.037948               0.737543033               0.101187733           
       0.038118               0.653911747              0.0957053916           
       0.038288               0.641143649              0.0947081892           
       0.038458               0.480360547              0.0871309172           
       0.038628               0.493013045              0.0846034019           
       0.038797               0.642468629               0.101563467           
       0.038967               0.590206842                0.10107879           
       0.039137               0.828952269               0.105646445           
       0.039307                0.58319934               0.090671568           
       0.039476               0.680285052              0.0961007599           
       0.039646               0.563171026              0.0919218068           
       0.039816                0.45723051              0.0888915515           
       0.039986               0.822796457               0.108700907           
       0.040156               0.705436441               0.101177361           
       0.040325               0.661549707              0.0970974571           
       0.040495               0.773863361               0.102281676           
       0.040665               0.762477156              0.0979236705           
       0.040835               0.753656343              0.0986961193           
       0.041005               0.594334438              0.0877378365           
       0.041174               0.600580051              0.0956819166           
       0.041344               0.704401755              0.0940234056           
       0.041514               0.738212236              0.0993508248           
       0.041684               0.755757703              0.0995846169           
       0.041854               0.832896585              0.0990187623           
       0.042023               0.683895947              0.0947648649           
       0.042193               0.781277325               0.100365079           
       0.042363               0.658658995              0.0961812412           
       0.042533               0.683541651              0.0917702438           
       0.042702               0.808438887              0.0998200422           
       0.042872               0.636913173              0.0981052404           
       0.043042               0.680827588               0.089113112           
       0.043212                0.67612962              0.0940586562           
       0.043382               0.771561012              0.0966439139           
       0.043551               0.700331445              0.0950221925           
       0.043721                0.52004501              0.0844486244           
       0.043891               0.792697389              0.0976472043           
       0.044061               0.754112224              0.0933380901           
       0.044231               0.843314737              0.0988291059           
       0.044400               0.892904975               0.101779583           
       0.044570               0.570704367              0.0845249436           
       0.044740               0.803552557              0.0983899351           
       0.044910               0.600014076              0.0881981033           
       0.045080               0.760088056              0.0918401278           
       0.045249               0.722812189              0.0922167401           
       0.045419               0.503007556              0.0820455295           
       0.045589               0.714484188              0.0895343773           
       0.045759               0.552457813              0.0811745081           
       0.045929               0.603010852              0.0910478174           
       0.046098               0.610942771               0.088884153           
       0.046268                 0.6680184               0.086381636           
       0.046438               0.680519462              0.0863863113           
       0.046608               0.703373885              0.0959350257           
       0.046777               0.631395597              0.0852065993           
       0.046947               0.582981033              0.0818879982           
       0.047117               0.506290489              0.0793596352           
       0.047287               0.479873525              0.0749841748           
       0.047457               0.585667183              0.0856252725           
       0.047626               0.382063103              0.0720505212           
       0.047796               0.497202976              0.0786635302           
       0.047966               0.529268699              0.0757147756           
       0.048136               0.615167839              0.0806675158           
       0.048306               0.549732804              0.0785892871           
       0.048475               0.523746061              0.0793353919           
       0.048645               0.266205021              0.0687725051           
       0.048815               0.621886107              0.0815634592           
       0.048985                 0.6315197              0.0818123257           
       0.049155               0.422921979              0.0694812556           
       0.049324               0.328003937              0.0626572268           
       0.049494               0.453821025              0.0695328218           
       0.049664               0.419489396              0.0711146085           
       0.049834               0.384573897              0.0715391623           
       0.050004               0.459992085              0.0724883091           
       0.050173               0.302230747              0.0659335484           
       0.050343               0.357989513              0.0610832695           
       0.050513               0.395738254              0.0694854058           
       0.050683               0.261238332              0.0642394989           
       0.050852                0.27471917              0.0602599853           
       0.051022               0.276238202              0.0625463229           
       0.051192               0.284454049              0.0563611311           
       0.051362               0.428456327              0.0652941867           
       0.051532               0.273706357              0.0569272021           
       0.051701               0.345374803              0.0645320279           
       0.051871               0.230461349              0.0540294293           
       0.052041               0.214657533              0.0489396169           
       0.052211               0.364242551              0.0622807422           
       0.052381               0.244720204              0.0553029046           
       0.052550               0.207417428              0.0538804292           
       0.052720               0.347295989              0.0681345477           
       0.052890               0.197218396              0.0472684887           
       0.053060               0.174306861              0.0490229723           
       0.053230               0.237254333              0.0505115134           
       0.053399               0.234604641              0.0573345288           
       0.053569               0.257825015              0.0554011138           
       0.053739               0.151844214              0.0447025933           
       0.053909               0.163379463              0.0504847944           
       0.054079               0.160003592              0.0495658975           
       0.054248               0.187079918              0.0496476883           
       0.054418               0.209328002              0.0482618109           
       0.054588               0.115333855              0.0428022286           
       0.054758                0.19271261              0.0489457466           
       0.054927               0.167926749              0.0420956038           
       0.055097              0.0850082338              0.0397680122           
       0.055267               0.188885811              0.0477639584           
       0.055437               0.223329887              0.0496183471           
       0.055607               0.112155406              0.0397931063           
       0.055776               0.158716883              0.0526054536           
       0.055946               0.143510897              0.0459169444           
       0.056116               0.111152866              0.0401561703           
       0.056286               0.125480897              0.0433528503           
       0.056456               0.148612412              0.0433006519           
       0.056625               0.203335699              0.0484694409           
       0.056795              0.0730048774              0.0369693344           
       0.056965               0.111663586              0.0405664529           
       0.057135               0.239093584              0.0492280485           
       0.057305               0.162414145              0.0466232315           
       0.057474              0.0923038614              0.0461739306           
       0.057644               0.110430972              0.0364890526           
       0.057814               0.161433038               0.046688942           
       0.057984               0.104306381              0.0409949648           
       0.058153              0.0894443082              0.0386369924           
       0.058323               0.120202786              0.0390448156           
       0.058493               0.135407212              0.0403246304           
       0.058663                0.13520133              0.0385945233           
       0.058833               0.122189312              0.0370915855           
       0.059002               0.105249263              0.0378411011           
       0.059172              0.0470746366              0.0329193169           
       0.059342             -0.0178059497               0.026149521           
       0.059512               0.137973737              0.0421780959           
       0.059682              0.0851913921              0.0337800803           
       0.059851              0.0575211777              0.0306939253           
       0.060021               0.109790189              0.0378433123           
       0.060191               0.131178421              0.0421197414           
       0.060361              0.0710059811              0.0336693899           
       0.060531               0.158921832              0.0429470111           
       0.060700               0.129866188              0.0396737319           
       0.060870               0.098374597              0.0407733179           
       0.061040              0.0227697329              0.0405114677           
       0.061210              0.0595359938              0.0347780253           
       0.061380              0.0941295533              0.0410631007           
       0.061549              0.0974758025              0.0352946995           
       0.061719               0.142640144              0.0397411049           
       0.061889              0.0817016117              0.0357931116           
       0.062059               0.204302091              0.0456365002           
       0.062228               0.167028012              0.0427499569           
       0.062398              0.0858754426              0.0313397799           
       0.062568               0.143594567              0.0429058201           
       0.062738               0.100237373               0.039443877           
       0.062908               0.117700915               0.039552728           
       0.063077              0.0606566549              0.0366000992           
       0.063247               0.167134958              0.0410504188           
       0.063417              0.0648773144              0.0359114453           
       0.063587               0.158336833              0.0380803032           
       0.063757              0.0972495144              0.0323108851           
       0.063926               0.133265016              0.0412733512           
       0.064096               0.169727527              0.0423375093           
       0.064266               0.180365319              0.0372815328           
       0.064436              0.0835898469              0.0338961709           
       0.064606                 0.1460792              0.0393896254           
       0.064775              0.0992601192               0.038631924           
       0.064945               0.103436366              0.0298522373           
       0.065115               0.087015293              0.0331545177           
       0.065285               0.167877304              0.0395484702           
       0.065455               0.186116634               0.044548703           
       0.065624               0.146013554              0.0350334493           
       0.065794                0.12826334              0.0354750602           
       0.065964               0.133111878               0.037298774           
       0.066134               0.104316284              0.0358725677           
       0.066303               0.146974597              0.0409325635           
       0.066473               0.109482461              0.0385616652           
       0.066643               0.108934159              0.0342648604           
       0.066813               0.108230869               0.037452353           
       0.066983               0.102704568              0.0364736009           
       0.067152               0.155913777              0.0358813077           
       0.067322              0.0882523769              0.0384141333           
       0.067492               0.200245779              0.0446746725           
       0.067662              0.0944179067              0.0339773335           
       0.067832               0.167505311              0.0416481723           
       0.068001              0.0749054937               0.035339398           
       0.068171               0.119162961               0.035766693           
       0.068341               0.127421169              0.0385157665           
       0.068511              0.0726568294              0.0317061077           
       0.068681               0.105677636              0.0371355614           
       0.068850               0.148355157              0.0381089631           
       0.069020               0.138348629              0.0388161934           
       0.069190              0.0831818309              0.0335523833           
       0.069360              0.0826226508              0.0344175437           
       0.069530               0.135813606              0.0371487566           
       0.069699              0.0545014397               0.028952409           
       0.069869               0.120396991              0.0378748198           
       0.070039               0.183822827              0.0386957166           
       0.070209               0.143468531              0.0349236712           
       0.070378              0.0541532063              0.0294976162           
       0.070548              0.0821494621              0.0307502685           
       0.070718               0.135691002               0.039368489           
       0.070888               0.115274042              0.0350550739           
       0.071058               0.120105508              0.0367993284           
       0.071227             0.00201984087              0.0342034613           
       0.071397               0.167177694              0.0406391705           
       0.071567               0.134069863              0.0367568441           
       0.071737               0.156156617              0.0429934186           
       0.071907               0.125995322              0.0362063999           
       0.072076              0.0640716573              0.0324217495           
       0.072246              0.0977559677              0.0348275955           
       0.072416                0.11922919              0.0356772568           
       0.072586              0.0828494183               0.032585502           
       0.072756             -0.0241364419              0.0344173188           
       0.072925              0.0923497225              0.0345984361           
       0.073095              0.0827137822              0.0327696394           
       0.073265              0.0613592784              0.0304403453           
       0.073435              0.0740393092              0.0341751204           
       0.073604               0.082461446              0.0363563985           
       0.073774              0.0543049914              0.0304449069           
       0.073944               0.100047711              0.0353594284           
       0.074114              0.0328363021              0.0258943824           
       0.074284                0.11506868              0.0326172698           
       0.074453              0.0948482899              0.0314346439           
       0.074623              0.0944723243              0.0355621262           
       0.074793              0.0997497107              0.0337455053           
       0.074963                0.15101246              0.0378340598           
       0.075133              0.0664969475              0.0336801777           
       0.075302              0.0451545641               0.027511083           
       0.075472              0.0929324612                0.03118625           
       0.075642                0.09988993              0.0360323415           
       0.075812              0.0907599078              0.0330945952           
       0.075982                0.12447116              0.0365790426           
       0.076151               0.097872846              0.0322628874           
       0.076321              0.0397384559              0.0295945149           
       0.076491              0.0454522828               0.031965012           
       0.076661              0.0370844572              0.0348884876           
